0,1,2
0.01,-0.03,0.94
0.01,-0.03,0.94
0.01,-0.03,0.94
0.02,-0.03,0.94
0.01,-0.01,0.92
-0.06,-0.09,0.85
0.04,-0.01,0.90
-0.04,-0.01,0.89
-0.03,-0.05,0.92
0.10,0.06,0.97
0.15,0.03,0.97
-0.02,-0.04,0.89
0.02,0.02,0.93
-0.08,-0.11,0.89
-0.06,-0.06,0.90
0.02,0.03,0.98
-0.00,0.05,0.93
0.06,-0.03,0.91
-0.07,-0.00,0.93
0.01,-0.01,0.92
0.02,-0.00,0.93
0.01,-0.01,0.93
0.01,-0.02,0.92
0.02,0.00,0.92
0.01,-0.01,0.94
0.02,-0.01,0.93
0.02,-0.02,0.92
0.02,-0.00,0.93
0.00,-0.00,0.93
0.02,-0.01,0.92
0.02,0.02,0.93
0.02,-0.01,0.92
0.01,-0.01,0.94
0.01,0.00,0.92
0.00,0.01,0.92
0.01,-0.02,0.94
0.02,-0.00,0.92
0.02,-0.01,0.92
0.02,-0.02,0.92
0.02,-0.00,0.95
0.01,-0.00,0.94
0.01,-0.00,0.93
0.01,0.00,0.93
0.01,0.01,0.93
0.01,-0.01,0.92
0.02,-0.02,0.92
0.01,0.01,0.92
0.02,0.01,0.92
0.02,0.00,0.95
0.02,-0.02,0.92
